model_id,model,status,cov_status,chi2,ndf,chi2_ndf,NX,NX_err,Gamma_GeV,Gamma_err_GeV,MX,MX_err,corr_NX_Gamma,max_abs_corr_Gamma_bkg,max_abs_corr_NX_bkg
0,pol2,0,3,41.4303,34,1.21854,36527,6223.63,0.2,0.017122,2.71575,0.00607048,-0.00388942,0.00274764,0.98246
1,pol3,0,3,21.3588,33,0.647237,24839,18584.7,0.157061,0.0531553,2.68191,0.00775259,0.97445,0.950986,0.99397
2,exp(pol2),0,3,34.6461,34,1.019,37378.9,5905,0.2,0.0194236,2.70805,0.00588103,-0.00414533,0.00288612,0.980802
3,exp(pol3),0,3,21.1267,33,0.640204,18648.3,12548.3,0.141792,0.0486356,2.68164,0.00793301,0.966231,0.933889,0.990156
4,Chebyshev-2,0,3,41.4303,34,1.21854,36527.1,6221.44,0.2,0.0171243,2.71575,0.00607038,-0.00388918,0.00363149,0.960978
5,Chebyshev-3,0,3,21.3588,33,0.647237,24839.3,18551.3,0.157062,0.0530842,2.68191,0.00775121,0.974367,0.969912,0.995532
6,Bernstein-2,0,3,41.4303,34,1.21854,36527.1,6220.87,0.2,0.0171201,2.71575,0.00607001,-0.003886,0.00188831,0.931417
7,Bernstein-3,0,3,21.3588,33,0.647237,24838.9,18544,0.15706,0.0530659,2.68191,0.00775145,0.974342,0.797576,0.879881
