gamma_GeV,chi2,delta_chi2,status,cov_status,NX,MX
0.001,47.5254,26.3987,0,3,3770.84,2.67918
0.00351899,47.3318,26.205,0,3,1220.49,2.6791
0.00603797,46.9221,25.7953,0,3,902.882,2.67894
0.00855696,46.2999,25.1732,0,3,856.566,2.6787
0.0110759,45.4766,24.3498,0,3,905.902,2.67832
0.0135949,44.4693,23.3425,0,3,1004.08,2.67769
0.0161139,42.4931,21.3664,0,3,1251.88,2.67141
0.0186329,41.4744,20.3477,0,3,1406.63,2.67177
0.0211519,40.4353,19.3085,0,3,1578.87,2.6722
0.0236709,39.4001,18.2734,0,3,1764.08,2.67269
0.0261899,38.3851,17.2584,0,3,1959.26,2.67317
0.0287089,37.3982,16.2714,0,3,2161.86,2.67363
0.0312278,36.4408,15.3141,0,3,2370.56,2.67412
0.0337468,35.5115,14.3848,0,3,2584.77,2.67466
0.0362658,34.6079,13.4812,0,3,2804.48,2.67527
0.0387848,33.7279,12.6012,0,3,3029.76,2.67598
0.0413038,32.8705,11.7438,0,3,3260.69,2.67676
0.0438228,32.0364,10.9096,0,3,3497.33,2.67759
0.0463418,31.2283,10.1016,0,3,3740.1,2.67842
0.0488608,30.4507,9.32401,0,3,3989.02,2.67919
0.0513797,29.7083,8.5816,0,3,4244.8,2.67986
0.0538987,29.0048,7.87808,0,3,4506.99,2.6804
0.0564177,28.3422,7.21547,0,3,4775.7,2.68082
0.0589367,27.721,6.59429,0,3,5050.77,2.68115
0.0614557,27.1407,6.01395,0,3,5332.61,2.68141
0.0639747,26.5999,5.4732,0,3,5619.94,2.68161
0.0664937,26.0971,4.97042,0,3,5914.34,2.68177
0.0690127,25.6305,4.50381,0,3,6214.76,2.6819
0.0715316,25.1982,4.07148,0,3,6521.77,2.68201
0.0740506,24.7983,3.67154,0,3,6835.82,2.68209
0.0765696,24.4288,3.30212,0,3,7156.81,2.68216
0.0790886,24.0882,2.96143,0,3,7484.81,2.68221
0.0816076,23.7745,2.64773,0,3,7820.15,2.68226
0.0841266,23.4861,2.35936,0,3,8163.05,2.68229
0.0866456,23.2215,2.09474,0,3,8513.54,2.68232
0.0891646,22.9791,1.85239,0,3,8872.16,2.68233
0.0916835,22.7576,1.63089,0,3,9238.99,2.68234
0.0942025,22.5556,1.4289,0,3,9614.3,2.68235
0.0967215,22.3719,1.24517,0,3,9998.33,2.68235
0.0992405,22.2052,1.07851,0,3,10391.3,2.68234
0.101759,22.0545,0.927809,0,3,10792.9,2.68233
0.104278,21.9187,0.792022,0,3,11204.7,2.68231
0.106797,21.7969,0.670164,0,3,11626.3,2.68229
0.109316,21.688,0.561311,0,3,12057.5,2.68227
0.111835,21.5913,0.464596,0,3,12499.4,2.68224
0.114354,21.5059,0.379206,0,3,12951.8,2.68221
0.116873,21.4311,0.304379,0,3,13414.9,2.68217
0.119392,21.3661,0.239401,0,3,13889.4,2.68213
0.121911,21.3103,0.183601,0,3,14375,2.68209
0.12443,21.2631,0.136351,0,3,14872.6,2.68204
0.126949,21.2238,0.0970634,0,3,15382.3,2.68199
0.129468,21.1919,0.0651873,0,3,15905,2.68194
0.131987,21.1669,0.0402067,0,3,16439.2,2.68188
0.134506,21.1484,0.0216385,0,3,16987.1,2.68183
0.137025,21.1358,0.00903038,0,3,17548.4,2.68176
0.139544,21.1287,0.00195883,0,3,18123.3,2.6817
0.142063,21.1268,2.75418e-05,0,3,18712.4,2.68164
0.144582,21.1296,0.00286553,0,3,19315.8,2.68157
0.147101,21.1369,0.010126,0,3,19935.6,2.6815
0.14962,21.1482,0.0214829,0,3,20567.3,2.68143
0.152139,21.1634,0.0366336,0,3,21215.9,2.68135
0.154658,21.182,0.0552931,0,3,21880.8,2.68127
0.157177,21.2039,0.0771953,0,3,22562.2,2.6812
0.159696,21.2288,0.102092,0,3,23260.3,2.68112
0.162215,21.2565,0.129749,0,3,23976,2.68103
0.164734,21.2867,0.15995,0,3,24706.4,2.68095
0.167253,21.3192,0.192491,0,3,25456.3,2.68086
0.169772,21.3539,0.227181,0,3,26223.7,2.68077
0.172291,21.3906,0.263844,0,3,27009.1,2.68069
0.17481,21.429,0.30231,0,3,27816.6,2.68059
0.177329,21.4692,0.342427,0,3,28641.8,2.6805
0.179848,21.5108,0.384048,0,3,29486.8,2.6804
0.182367,21.5538,0.427037,0,3,30353.5,2.68031
0.184886,21.598,0.471268,0,3,31239.2,2.68021
0.187405,21.6433,0.516621,0,3,32146.8,2.68011
0.189924,21.6897,0.562986,0,3,33076.7,2.68001
0.192443,21.737,0.61026,0,3,34027.6,2.6799
0.194962,21.7851,0.658345,0,3,35002.3,2.6798
0.197481,21.8339,0.707153,0,3,35998.9,2.6797
0.2,21.8833,0.756597,0,3,37020.1,2.67959
