gamma_GeV,chi2,delta_chi2,status,cov_status,NX,MX
0.001,32.9028,5.80241,0,3,1539.52,2.68026
0.00351899,32.7404,5.64,0,3,492.334,2.68028
0.00603797,32.4105,5.31018,0,3,356.173,2.68033
0.00855696,31.9416,4.84125,0,3,328.582,2.6804
0.0110759,31.3733,4.27297,0,3,337.28,2.68048
0.0135949,30.7518,3.65143,0,3,363.29,2.68057
0.0161139,30.1225,3.02215,0,3,398.995,2.68066
0.0186329,29.5238,2.42343,0,3,440.42,2.68069
0.0211519,28.9818,1.88147,0,3,485.109,2.68066
0.0236709,28.5099,1.40952,0,3,531.52,2.68052
0.0261899,28.1117,1.01132,0,3,578.752,2.68029
0.0287089,27.7864,0.685999,0,3,626.327,2.68002
0.0312278,27.5311,0.430774,0,3,673.952,2.67977
0.0337468,27.3416,0.241223,0,3,721.465,2.67955
0.0362658,27.2116,0.111282,0,3,768.751,2.67938
0.0387848,27.1343,0.0338917,0,3,815.778,2.67925
0.0413038,27.1022,0.00182216,0,3,862.573,2.67915
0.0438228,27.1086,0.00825877,0,3,909.221,2.67906
0.0463418,27.1474,0.0470781,0,3,955.792,2.67898
0.0488608,27.2133,0.112927,0,3,1002.38,2.67892
0.0513797,27.3016,0.201198,0,3,1049.02,2.67885
0.0538987,27.4083,0.307956,0,3,1095.96,2.67879
0.0564177,27.5302,0.42986,0,3,1142.86,2.67873
0.0589367,27.6644,0.564072,0,3,1190.21,2.67867
0.0614557,27.8086,0.708188,0,3,1237.95,2.67861
0.0639747,27.9605,0.860165,0,3,1286.12,2.67855
0.0664937,28.1186,1.01827,0,3,1334.77,2.67849
0.0690127,28.2814,1.18103,0,3,1383.99,2.67843
0.0715316,28.4476,1.34719,0,3,1433.85,2.67836
0.0740506,28.616,1.51567,0,3,1484.34,2.67829
0.0765696,28.7859,1.68558,0,3,1535.56,2.67822
0.0790886,28.9565,1.85612,0,3,1587.52,2.67815
0.0816076,29.127,2.02664,0,3,1640.31,2.67808
0.0841266,29.2969,2.19658,0,3,1693.87,2.678
0.0866456,29.4658,2.36545,0,3,1748.61,2.67792
0.0891646,29.6332,2.53285,0,3,1804.05,2.67784
0.0916835,29.7988,2.69845,0,3,1860.67,2.67776
0.0942025,29.9623,2.86194,0,3,1918.46,2.67767
0.0967215,30.1235,3.0231,0,3,1977.24,2.67758
0.0992405,30.2821,3.18173,0,3,2037.18,2.67749
0.101759,30.438,3.33766,0,3,2098.59,2.67739
0.104278,30.5911,3.49077,0,3,2160.81,2.6773
0.106797,30.7413,3.64095,0,3,2224.59,2.6772
0.109316,30.8885,3.78813,0,3,2289.71,2.67709
0.111835,31.0326,3.93224,0,3,2356.24,2.67699
0.114354,31.1736,4.07325,0,3,2424.38,2.67688
0.116873,31.3115,4.21114,0,3,2494.05,2.67676
0.119392,31.4463,4.3459,0,3,2565.2,2.67665
0.121911,31.5779,4.47753,0,3,2637.86,2.67653
0.12443,31.7064,4.60603,0,3,2712.64,2.67641
0.126949,31.8318,4.73145,0,3,2788.89,2.67628
0.129468,31.9542,4.8538,0,3,2867.02,2.67615
0.131987,32.0735,4.97311,0,3,2947.01,2.67602
0.134506,32.1898,5.08944,0,3,3029.06,2.67589
0.137025,32.3032,5.20283,0,3,3112.92,2.67575
0.139544,32.4137,5.31332,0,3,3198.85,2.67561
0.142063,32.5213,5.42097,0,3,3286.99,2.67546
0.144582,32.6262,5.52584,0,3,3377.3,2.67532
0.147101,32.7283,5.62798,0,3,3469.56,2.67517
0.14962,32.8278,5.72746,0,3,3564.58,2.67502
0.152139,32.9247,5.82432,0,3,3661.2,2.67486
0.154658,33.019,5.91864,0,3,3761.59,2.6747
0.157177,33.1108,6.01047,0,3,3863.81,2.67453
0.159696,33.2002,6.09988,0,3,3968.26,2.67437
0.162215,33.2873,6.18693,0,3,4076.13,2.6742
0.164734,33.372,6.27167,0,3,4186.03,2.67403
0.167253,33.4545,6.35418,0,3,4299.35,2.67385
0.169772,33.5349,6.43451,0,3,4415.25,2.67367
0.172291,33.6131,6.51271,0,3,4534.37,2.6735
0.17481,33.6892,6.58886,0,3,4656.7,2.67331
0.177329,33.7634,6.663,0,3,4781.69,2.67312
0.179848,33.8356,6.73519,0,3,4909.57,2.67294
0.182367,33.9059,6.80549,0,3,5040.79,2.67275
0.184886,33.9743,6.87396,0,3,5175.92,2.67255
0.187405,34.041,6.94064,0,3,5314.53,2.67235
0.189924,34.106,7.00559,0,3,5457.15,2.67215
0.192443,34.1692,7.06886,0,3,5601.02,2.67196
0.194962,34.2309,7.13051,0,3,5750.13,2.67176
0.197481,34.2909,7.19056,0,3,5903.24,2.67155
0.2,34.3495,7.24909,0,3,6059.83,2.67134
