model_id,model,status,cov_status,chi2,ndf,chi2_ndf,NX,NX_err,Gamma_GeV,Gamma_err_GeV,MX,MX_err,corr_NX_Gamma,max_abs_corr_Gamma_bkg,max_abs_corr_NX_bkg
0,pol2,0,3,48.7979,34,1.43523,2043.23,922.478,0.0544164,0.0214545,2.68613,0.00596094,0.863411,0.726266,0.896766
1,pol3,0,3,24.4395,33,0.74059,5053.94,2794.84,0.0893239,0.0330743,2.67507,0.00596069,0.947435,0.895365,0.976115
2,exp(pol2),0,3,47.3433,34,1.39245,15466.7,3202.06,0.2,0.0238281,2.70407,0.00749516,-0.0047643,0.00335663,0.981607
3,exp(pol3),0,3,24.0729,33,0.729482,4326.1,2216.09,0.0828469,0.0301209,2.67481,0.00608407,0.935299,0.869065,0.965746
4,Chebyshev-2,0,3,48.7979,34,1.43523,2043.24,922.406,0.0544166,0.0214535,2.68613,0.00596092,0.863396,0.623542,0.75804
5,Chebyshev-3,0,3,24.4395,33,0.74059,5053.89,2793.66,0.089323,0.0330633,2.67507,0.00596036,0.947399,0.910254,0.953119
6,Bernstein-2,0,3,48.7979,34,1.43523,2043.25,922.458,0.0544166,0.0214541,2.68613,0.00596099,0.863404,0.573595,0.746024
7,Bernstein-3,0,3,24.4395,33,0.74059,5053.82,2794.21,0.0893221,0.0330672,2.67507,0.00596082,0.94741,0.718092,0.829287
