model_id,model,status,cov_status,chi2,ndf,chi2_ndf,NX,NX_err,Gamma_GeV,Gamma_err_GeV,MX,MX_err,corr_NX_Gamma,max_abs_corr_Gamma_bkg,max_abs_corr_NX_bkg
0,pol2,0,3,42.8797,34,1.26117,21351.8,4444.96,0.2,0.0245691,2.71435,0.00741163,-0.00470856,0.00332822,0.982557
1,pol3,0,3,22.6344,33,0.685891,8222.92,5859.08,0.107047,0.0462179,2.68076,0.00694968,0.96573,0.93101,0.98674
2,exp(pol2),0,3,38.6238,34,1.136,22672.9,4219.78,0.2,0.0228026,2.70831,0.00696786,-0.00438466,0.00305019,0.98084
3,exp(pol3),0,3,22.4127,33,0.679172,6404.73,4138.38,0.0947861,0.0409079,2.68074,0.00699278,0.954823,0.906733,0.978269
4,Chebyshev-2,0,3,42.8797,34,1.26117,21351.7,4443.26,0.2,0.0245721,2.71435,0.00741154,-0.00470888,0.00439782,0.961465
5,Chebyshev-3,0,3,22.6344,33,0.685891,8222.8,5854.71,0.107046,0.0461908,2.68076,0.00694901,0.965685,0.949698,0.979458
6,Bernstein-2,0,3,42.8797,34,1.26117,21351.8,4443.83,0.2,0.024566,2.71435,0.00741162,-0.00470757,0.00229474,0.930525
7,Bernstein-3,0,3,22.6344,33,0.685891,8222.66,5855.53,0.107045,0.0461944,2.68076,0.00694948,0.965689,0.768048,0.85351
