gamma_GeV,chi2,delta_chi2,status,cov_status,NX,MX
0.001,37.7562,15.3435,0,3,3706.03,2.67943
0.00351899,37.5507,15.138,0,3,1189.49,2.67938
0.00603797,37.1299,14.7172,0,3,866.29,2.67928
0.00855696,36.5232,14.1105,0,3,806.202,2.67915
0.0110759,35.773,13.3603,0,3,835.555,2.67901
0.0135949,34.928,12.5153,0,3,908.966,2.67889
0.0161139,34.0342,11.6215,0,3,1007.88,2.67883
0.0186329,33.1235,10.7108,0,3,1122.32,2.67891
0.0211519,32.2107,9.79802,0,3,1246.14,2.67916
0.0236709,31.2986,8.88595,0,3,1376.26,2.67961
0.0261899,30.388,7.97531,0,3,1511.34,2.6803
0.0287089,29.4859,7.07323,0,3,1650.98,2.68124
0.0312278,28.6149,6.2022,0,3,1795.12,2.68227
0.0337468,27.8126,5.39987,0,3,1943.33,2.68298
0.0362658,27.1009,4.68819,0,3,2094.06,2.68329
0.0387848,26.4772,4.0645,0,3,2246.18,2.6834
0.0413038,25.9312,3.51855,0,3,2399.72,2.68342
0.0438228,25.4526,3.03992,0,3,2554.97,2.68337
0.0463418,25.0322,2.61951,0,3,2712.18,2.6833
0.0488608,24.6623,2.24965,0,3,2871.63,2.6832
0.0513797,24.3366,1.92393,0,3,3033.54,2.68308
0.0538987,24.0496,1.63697,0,3,3198.18,2.68296
0.0564177,23.7969,1.38426,0,3,3365.96,2.68283
0.0589367,23.5747,1.16198,0,3,3536.55,2.68269
0.0614557,23.3796,0.966877,0,3,3710.52,2.68255
0.0639747,23.2089,0.796175,0,3,3888.07,2.6824
0.0664937,23.0601,0.647457,0,3,4069.29,2.68226
0.0690127,22.9313,0.518621,0,3,4254.34,2.68212
0.0715316,22.8205,0.407818,0,3,4443.38,2.68197
0.0740506,22.7261,0.313412,0,3,4636.44,2.68183
0.0765696,22.6466,0.233944,0,3,4834.04,2.68169
0.0790886,22.5808,0.168103,0,3,5036.05,2.68156
0.0816076,22.5274,0.114711,0,3,5242.61,2.68142
0.0841266,22.4854,0.0726969,0,3,5453.44,2.68129
0.0866456,22.4538,0.0410879,0,3,5669.98,2.68116
0.0891646,22.4317,0.0189973,0,3,5891.51,2.68103
0.0916835,22.4183,0.00561367,0,3,6118.2,2.6809
0.0942025,22.4129,0.000193233,0,3,6350.21,2.68077
0.0967215,22.4147,0.00205356,0,3,6587.83,2.68065
0.0992405,22.4232,0.0105675,0,3,6831.03,2.68052
0.101759,22.4378,0.0251581,0,3,7080.18,2.6804
0.104278,22.458,0.0452946,0,3,7335.57,2.68028
0.106797,22.4832,0.0704881,0,3,7597.34,2.68016
0.109316,22.513,0.100288,0,3,7865.52,2.68004
0.111835,22.547,0.134279,0,3,8139.6,2.67992
0.114354,22.5848,0.172079,0,3,8421.02,2.6798
0.116873,22.626,0.213336,0,3,8709.46,2.67968
0.119392,22.6704,0.257724,0,3,9005.22,2.67956
0.121911,22.7176,0.304943,0,3,9308.65,2.67944
0.12443,22.7674,0.354717,0,3,9618.61,2.67932
0.126949,22.8195,0.406792,0,3,9936.37,2.6792
0.129468,22.8736,0.460933,0,3,10262.6,2.67908
0.131987,22.9296,0.516923,0,3,10597.2,2.67896
0.134506,22.9872,0.574564,0,3,10939.6,2.67884
0.137025,23.0463,0.63367,0,3,11291.4,2.67872
0.139544,23.1068,0.694072,0,3,11651.3,2.6786
0.142063,23.1683,0.755616,0,3,12020.7,2.67847
0.144582,23.2308,0.818155,0,3,12399.3,2.67835
0.147101,23.2942,0.881558,0,3,12787.8,2.67822
0.14962,23.3584,0.945703,0,3,13184.6,2.6781
0.152139,23.4232,1.01048,0,3,13592.3,2.67797
0.154658,23.4885,1.07577,0,3,14010.4,2.67784
0.157177,23.5542,1.1415,0,3,14438.9,2.67771
0.159696,23.6203,1.20757,0,3,14877.4,2.67758
0.162215,23.6866,1.27391,0,3,15328.1,2.67745
0.164734,23.7531,1.34042,0,3,15789.1,2.67731
0.167253,23.8197,1.40706,0,3,16262.4,2.67718
0.169772,23.8864,1.47375,0,3,16746.5,2.67704
0.172291,23.9531,1.54044,0,3,17243.4,2.6769
0.17481,24.0198,1.60707,0,3,17752.1,2.67677
0.177329,24.0863,1.6736,0,3,18274.5,2.67662
0.179848,24.1527,1.73998,0,3,18809.3,2.67648
0.182367,24.2188,1.80617,0,3,19355.2,2.67634
0.184886,24.2848,1.87213,0,3,19917.6,2.67619
0.187405,24.3505,1.93783,0,3,20492.5,2.67605
0.189924,24.4159,2.00323,0,3,21081.8,2.6759
0.192443,24.481,2.06832,0,3,21685,2.67575
0.194962,24.5457,2.13305,0,3,22303.8,2.6756
0.197481,24.6101,2.19742,0,3,22935.6,2.67545
0.2,24.6741,2.26139,0,3,23584.1,2.6753
