   ------------------------------------------------------------------
  | Welcome to ROOT 6.36.000                       https://root.cern |
  | (c) 1995-2025, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Jul 08 2025, 08:13:40                 |
  | From tags/6-36-000@6-36-000                                      |
  | With c++ (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0                   |
  | Try '.help'/'.?', '.demo', '.license', '.credits', '.quit'/'.q'  |
   ------------------------------------------------------------------


Processing EPOS_finalCodeQA.cxx...
Total events = 7974900
First pass: computing FT0...
Second pass: physics observables...
Event 91: eposID=231, pt=0.301588, y=0.0580471, ist=6, ity=30 ior=53, jor=-1
Event 100: eposID=231, pt=0.771627, y=0.289413, ist=3, ity=60 ior=-1, jor=-1
Event 100: eposID=231, pt=1.80202, y=0.241118, ist=3, ity=60 ior=-1, jor=-1
Event 100: eposID=231, pt=0.771627, y=0.28589, ist=6, ity=60 ior=247, jor=-1
Event 100: eposID=231, pt=1.80202, y=0.241118, ist=6, ity=60 ior=253, jor=-1
Event 101: eposID=231, pt=0.605196, y=-0.114758, ist=7, ity=30 ior=60, jor=-1
Event 101: eposID=231, pt=0.360464, y=-0.161065, ist=7, ity=30 ior=166, jor=-1
Event 102: eposID=231, pt=0.632438, y=0.483882, ist=7, ity=30 ior=102, jor=-1
Event 103: eposID=231, pt=0.760879, y=0.108944, ist=7, ity=30 ior=103, jor=-1
Event 106: eposID=231, pt=0.168909, y=0.0638904, ist=3, ity=31 ior=226, jor=-1
Event 106: eposID=231, pt=0.229585, y=0.113365, ist=7, ity=30 ior=297, jor=-1
Event 106: eposID=231, pt=0.168909, y=0.0638904, ist=6, ity=31 ior=236, jor=-1
Event 107: eposID=231, pt=0.195952, y=-0.454248, ist=7, ity=31 ior=104, jor=-1
Event 108: eposID=231, pt=0.697368, y=0.121166, ist=7, ity=31 ior=137, jor=-1
Event 108: eposID=231, pt=0.372398, y=0.191576, ist=3, ity=31 ior=223, jor=-1
Event 108: eposID=231, pt=0.372398, y=0.191576, ist=6, ity=31 ior=227, jor=-1
Event 111: eposID=231, pt=1.61863, y=0.490809, ist=3, ity=60 ior=-1, jor=-1
Event 112: eposID=231, pt=0.122057, y=0.0460792, ist=7, ity=30 ior=76, jor=-1
Event 112: eposID=231, pt=0.565155, y=0.23239, ist=7, ity=30 ior=76, jor=-1
Event 112: eposID=231, pt=1.46947, y=0.498302, ist=6, ity=60 ior=311, jor=-1
Event 114: eposID=231, pt=0.204547, y=-0.361919, ist=7, ity=31 ior=117, jor=-1
Event 114: eposID=231, pt=1.23571, y=-0.143363, ist=6, ity=60 ior=827, jor=-1
Event 115: eposID=231, pt=0.368177, y=0.313992, ist=7, ity=31 ior=111, jor=-1
Event 117: eposID=231, pt=0.82198, y=-0.0173095, ist=3, ity=31 ior=92, jor=-1
Event 117: eposID=231, pt=0.597116, y=0.0556463, ist=3, ity=60 ior=-1, jor=-1
Event 117: eposID=231, pt=0.82198, y=-0.0174796, ist=6, ity=31 ior=106, jor=-1
Event 117: eposID=231, pt=0.597116, y=0.0380666, ist=6, ity=60 ior=176, jor=-1
Event 118: eposID=231, pt=0.149649, y=-0.158445, ist=7, ity=30 ior=110, jor=-1
Event 118: eposID=231, pt=0.414907, y=0.0561757, ist=7, ity=30 ior=110, jor=-1
Event 122: eposID=231, pt=0.455043, y=0.201451, ist=3, ity=31 ior=30, jor=-1
Event 122: eposID=231, pt=0.455043, y=0.191216, ist=6, ity=31 ior=31, jor=-1
Event 125: eposID=231, pt=0.463192, y=0.485488, ist=3, ity=31 ior=77, jor=-1
Event 125: eposID=231, pt=0.463192, y=0.49587, ist=6, ity=31 ior=78, jor=-1
Event 141: eposID=231, pt=1.91709, y=0.377149, ist=3, ity=60 ior=-1, jor=-1
Event 141: eposID=231, pt=1.91709, y=0.377149, ist=6, ity=60 ior=238, jor=-1
Event 143: eposID=231, pt=0.262788, y=0.467371, ist=7, ity=30 ior=187, jor=-1
Event 144: eposID=231, pt=1.04479, y=-0.265882, ist=3, ity=31 ior=193, jor=-1
Event 144: eposID=231, pt=1.04479, y=-0.246643, ist=6, ity=31 ior=202, jor=-1
Event 146: eposID=231, pt=0.486217, y=0.221392, ist=3, ity=30 ior=141, jor=-1
Event 146: eposID=231, pt=0.486217, y=0.207228, ist=6, ity=30 ior=149, jor=-1
Event 147: eposID=231, pt=0.0729686, y=0.34734, ist=3, ity=31 ior=49, jor=-1
Event 147: eposID=231, pt=0.0729686, y=0.34734, ist=6, ity=31 ior=56, jor=-1
Event 157: eposID=231, pt=0.000691772, y=-0.00182434, ist=3, ity=30 ior=54, jor=-1
Event 157: eposID=231, pt=0.000691772, y=-0.00182434, ist=6, ity=30 ior=57, jor=-1
Event 160: eposID=231, pt=0.405382, y=0.333277, ist=7, ity=30 ior=159, jor=-1
Event 162: eposID=231, pt=0.670316, y=-0.105259, ist=3, ity=31 ior=57, jor=-1
Event 162: eposID=231, pt=0.43615, y=-0.349156, ist=3, ity=31 ior=57, jor=-1
Event 162: eposID=231, pt=0.670316, y=-0.110901, ist=6, ity=31 ior=62, jor=-1
Event 162: eposID=231, pt=0.43615, y=-0.349156, ist=6, ity=31 ior=64, jor=-1
Event 163: eposID=231, pt=0.221435, y=-0.15352, ist=7, ity=30 ior=145, jor=-1
Event 165: eposID=231, pt=0.717628, y=0.0572951, ist=7, ity=31 ior=275, jor=-1
Event 165: eposID=231, pt=0.0444721, y=-0.244829, ist=3, ity=31 ior=436, jor=-1
Event 165: eposID=231, pt=0.273639, y=0.315479, ist=7, ity=30 ior=601, jor=-1
Event 165: eposID=231, pt=0.0444721, y=-0.238884, ist=6, ity=31 ior=447, jor=-1
Event 165: eposID=231, pt=0.295072, y=-0.245526, ist=6, ity=60 ior=1508, jor=-1
Event 166: eposID=231, pt=0.921832, y=0.143426, ist=7, ity=30 ior=302, jor=-1
Event 166: eposID=231, pt=0.26489, y=0.00837098, ist=3, ity=60 ior=-1, jor=-1
Event 166: eposID=231, pt=0.26489, y=0.00817323, ist=6, ity=60 ior=717, jor=-1
Event 167: eposID=231, pt=0.254741, y=-0.106443, ist=7, ity=31 ior=434, jor=-1
Event 167: eposID=231, pt=0.0417902, y=-0.083307, ist=7, ity=31 ior=526, jor=-1
Event 167: eposID=231, pt=0.697867, y=-0.0541508, ist=3, ity=60 ior=-1, jor=-1
Event 167: eposID=231, pt=0.697867, y=-0.0540003, ist=6, ity=60 ior=671, jor=-1
Event 167: eposID=231, pt=1.16885, y=-0.0270773, ist=6, ity=60 ior=1489, jor=-1
Event 168: eposID=231, pt=0.343846, y=0.304004, ist=7, ity=30 ior=222, jor=-1
Event 168: eposID=231, pt=0.093322, y=-0.289337, ist=7, ity=30 ior=291, jor=-1
Event 168: eposID=231, pt=0.363424, y=0.366616, ist=7, ity=31 ior=490, jor=-1
Event 168: eposID=231, pt=0.387198, y=0.340395, ist=3, ity=31 ior=597, jor=-1
Event 168: eposID=231, pt=0.387198, y=0.344146, ist=6, ity=31 ior=602, jor=-1
Event 169: eposID=231, pt=1.89093, y=0.237197, ist=3, ity=31 ior=255, jor=-1
Event 169: eposID=231, pt=0.428729, y=0.40797, ist=7, ity=31 ior=384, jor=-1
Event 169: eposID=231, pt=0.0754643, y=0.0212222, ist=3, ity=31 ior=432, jor=-1
Event 169: eposID=231, pt=1.28408, y=0.472249, ist=7, ity=31 ior=465, jor=-1
Event 169: eposID=231, pt=5.51963, y=0.238648, ist=3, ity=60 ior=-1, jor=-1
Event 169: eposID=231, pt=1.89093, y=0.237197, ist=6, ity=31 ior=271, jor=-1
Event 169: eposID=231, pt=0.0754643, y=0.0212222, ist=6, ity=31 ior=438, jor=-1
Event 169: eposID=231, pt=5.51963, y=0.243968, ist=6, ity=60 ior=726, jor=-1
Event 175: eposID=231, pt=0.329994, y=-0.0993974, ist=7, ity=30 ior=102, jor=-1
Event 177: eposID=231, pt=0.56873, y=0.309119, ist=7, ity=31 ior=51, jor=-1
Event 178: eposID=231, pt=0.71182, y=-0.419824, ist=7, ity=31 ior=51, jor=-1
Event 179: eposID=231, pt=0.374212, y=0.254215, ist=3, ity=30 ior=41, jor=-1
Event 179: eposID=231, pt=0.374212, y=0.254215, ist=6, ity=30 ior=43, jor=-1
Event 183: eposID=231, pt=0.071588, y=-0.379926, ist=3, ity=30 ior=29, jor=-1
Event 183: eposID=231, pt=0.071588, y=-0.379926, ist=6, ity=30 ior=34, jor=-1
Event 191: eposID=231, pt=0.197984, y=0.422355, ist=3, ity=30 ior=35, jor=-1
Event 191: eposID=231, pt=0.197984, y=0.39111, ist=6, ity=30 ior=41, jor=-1
Event 197: eposID=231, pt=0.48309, y=-0.352767, ist=7, ity=31 ior=62, jor=-1
Event 199: eposID=231, pt=0.817424, y=0.287084, ist=3, ity=60 ior=-1, jor=-1
Event 199: eposID=231, pt=0.817424, y=0.261971, ist=6, ity=60 ior=260, jor=-1
Event 205: eposID=231, pt=0.442888, y=-0.275815, ist=7, ity=31 ior=183, jor=-1
Event 206: eposID=231, pt=0.381622, y=0.393445, ist=3, ity=31 ior=187, jor=-1
Event 206: eposID=231, pt=0.381622, y=0.393445, ist=6, ity=31 ior=206, jor=-1
Event 226: eposID=231, pt=1.00769, y=-0.073007, ist=3, ity=60 ior=-1, jor=-1
Event 226: eposID=231, pt=1.00769, y=-0.073007, ist=6, ity=60 ior=123, jor=-1
Event 231: eposID=231, pt=0.112544, y=-0.150554, ist=3, ity=31 ior=39, jor=-1
Event 231: eposID=231, pt=0.112544, y=-0.143767, ist=6, ity=31 ior=49, jor=-1
Event 233: eposID=231, pt=0.194964, y=-0.431145, ist=3, ity=31 ior=47, jor=-1
Event 233: eposID=231, pt=0.194964, y=-0.414448, ist=6, ity=31 ior=48, jor=-1
Event 234: eposID=231, pt=0.426804, y=0.384912, ist=3, ity=31 ior=38, jor=-1
Event 234: eposID=231, pt=0.426804, y=0.393352, ist=6, ity=31 ior=49, jor=-1
Event 235: eposID=231, pt=0.319331, y=0.244442, ist=3, ity=31 ior=356, jor=-1
Event 235: eposID=231, pt=0.400246, y=0.00056509, ist=3, ity=60 ior=-1, jor=-1
Event 235: eposID=231, pt=0.319331, y=0.230879, ist=6, ity=31 ior=368, jor=-1
Event 235: eposID=231, pt=0.400246, y=0.00056509, ist=6, ity=60 ior=456, jor=-1
Event 236: eposID=231, pt=0.222908, y=0.365064, ist=3, ity=31 ior=324, jor=-1
Event 236: eposID=231, pt=0.222908, y=0.365064, ist=6, ity=31 ior=329, jor=-1
Event 239: eposID=231, pt=1.44422, y=0.370296, ist=3, ity=30 ior=169, jor=-1
Event 239: eposID=231, pt=1.44422, y=0.370296, ist=6, ity=30 ior=176, jor=-1
Event 241: eposID=231, pt=0.824463, y=0.447613, ist=3, ity=31 ior=20, jor=-1
Event 241: eposID=231, pt=0.824463, y=0.447613, ist=6, ity=31 ior=32, jor=-1
Event 245: eposID=231, pt=0.225915, y=-0.440972, ist=7, ity=31 ior=109, jor=-1
Event 245: eposID=231, pt=1.45431, y=0.316507, ist=3, ity=60 ior=-1, jor=-1
Event 245: eposID=231, pt=1.45431, y=0.316507, ist=6, ity=60 ior=217, jor=-1
Event 248: eposID=231, pt=0.430382, y=0.287792, ist=7, ity=31 ior=122, jor=-1
Event 252: eposID=231, pt=0.335087, y=-0.477667, ist=7, ity=30 ior=258, jor=-1
Event 253: eposID=231, pt=0.238915, y=-0.211997, ist=7, ity=30 ior=187, jor=-1
Event 256: eposID=231, pt=0.917253, y=0.291817, ist=3, ity=60 ior=-1, jor=-1
Event 256: eposID=231, pt=0.917253, y=0.309026, ist=6, ity=60 ior=115, jor=-1
Event 264: eposID=231, pt=0.775879, y=-0.40902, ist=3, ity=30 ior=36, jor=-1
Event 264: eposID=231, pt=0.775879, y=-0.40902, ist=6, ity=30 ior=48, jor=-1
Event 275: eposID=231, pt=0.502091, y=-0.101789, ist=3, ity=30 ior=122, jor=-1
Event 275: eposID=231, pt=0.502091, y=-0.101789, ist=6, ity=30 ior=125, jor=-1
Event 280: eposID=231, pt=0.0747855, y=-0.0669679, ist=3, ity=31 ior=74, jor=-1
Event 280: eposID=231, pt=0.61133, y=0.399421, ist=3, ity=60 ior=-1, jor=-1
Event 280: eposID=231, pt=0.0747855, y=-0.0669679, ist=6, ity=31 ior=75, jor=-1
Event 280: eposID=231, pt=0.61133, y=0.399421, ist=6, ity=60 ior=250, jor=-1
